Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1667439707,2022-11-03T01:41:47Z,IGO2011,"17.234884,78.440346",0,7,267
1667439714,2022-11-03T01:41:54Z,IGO2011,"17.234882,78.440094",0,8,270
1667439724,2022-11-03T01:42:04Z,IGO2011,"17.234871,78.439651",0,10,270
1667439732,2022-11-03T01:42:12Z,IGO2011,"17.234873,78.439232",0,12,270
1667439767,2022-11-03T01:42:47Z,IGO2011,"17.234837,78.437218",0,9,270
1667439807,2022-11-03T01:43:27Z,IGO2011,"17.233624,78.436951",0,11,180
1667439816,2022-11-03T01:43:36Z,IGO2011,"17.233196,78.436966",0,11,180
1667439822,2022-11-03T01:43:42Z,IGO2011,"17.232918,78.436966",0,10,180
1667439830,2022-11-03T01:43:50Z,IGO2011,"17.232649,78.436905",0,7,196
1667439838,2022-11-03T01:43:58Z,IGO2011,"17.232521,78.436653",0,8,239
1667439845,2022-11-03T01:44:05Z,IGO2011,"17.232525,78.436363",0,9,267
1667439853,2022-11-03T01:44:13Z,IGO2011,"17.232521,78.435936",0,12,270
1667439970,2022-11-03T01:46:10Z,IGO2011,"17.232365,78.424515",0,22,270
1667440022,2022-11-03T01:47:02Z,IGO2011,"17.231043,78.422348",0,9,180
1667440134,2022-11-03T01:48:54Z,IGO2011,"17.229527,78.422371",0,7,180
1667440156,2022-11-03T01:49:16Z,IGO2011,"17.228714,78.422516",0,8,146
1667440168,2022-11-03T01:49:28Z,IGO2011,"17.228737,78.422951",0,8,90
1667440172,2022-11-03T01:49:32Z,IGO2011,"17.228739,78.423256",0,20,90
1667440175,2022-11-03T01:49:35Z,IGO2011,"17.22875,78.423584",0,31,90
1667440181,2022-11-03T01:49:41Z,IGO2011,"17.22876,78.425179",0,67,90
1667440182,2022-11-03T01:49:42Z,IGO2011,"17.228773,78.425537",0,72,87
1667440202,2022-11-03T01:50:02Z,IGO2011,"17.228937,78.436745",0,72,87
1667440208,2022-11-03T01:50:08Z,IGO2011,"17.228983,78.441498",1950,174,89
1667440214,2022-11-03T01:50:14Z,IGO2011,"17.22908,78.44677",2175,175,89
1667440220,2022-11-03T01:50:20Z,IGO2011,"17.229076,78.451897",2375,178,90
1667440226,2022-11-03T01:50:26Z,IGO2011,"17.228937,78.456848",2600,180,91
1667440232,2022-11-03T01:50:32Z,IGO2011,"17.228798,78.46244",2750,188,90
1667440241,2022-11-03T01:50:41Z,IGO2011,"17.228844,78.469994",2975,198,88
1667440247,2022-11-03T01:50:47Z,IGO2011,"17.228989,78.475388",3125,204,88
1667440253,2022-11-03T01:50:53Z,IGO2011,"17.229216,78.482353",3275,210,87
1667440259,2022-11-03T01:50:59Z,IGO2011,"17.229446,78.487915",3400,217,87
1667440265,2022-11-03T01:51:05Z,IGO2011,"17.229721,78.495384",3550,229,87
1667440271,2022-11-03T01:51:11Z,IGO2011,"17.230042,78.502563",3675,237,86
1667440277,2022-11-03T01:51:17Z,IGO2011,"17.230892,78.509087",3875,242,79
1667440281,2022-11-03T01:51:21Z,IGO2011,"17.231916,78.512962",4025,243,72
1667440282,2022-11-03T01:51:22Z,IGO2011,"17.232376,78.51442",4050,244,70
1667440287,2022-11-03T01:51:27Z,IGO2011,"17.234802,78.519867",4275,245,61
1667440289,2022-11-03T01:51:29Z,IGO2011,"17.236479,78.522675",4400,246,56
1667440293,2022-11-03T01:51:33Z,IGO2011,"17.238712,78.525711",4550,248,51
1667440296,2022-11-03T01:51:36Z,IGO2011,"17.241028,78.528397",4650,251,46
1667440299,2022-11-03T01:51:39Z,IGO2011,"17.24382,78.53109",4750,254,41
1667440302,2022-11-03T01:51:42Z,IGO2011,"17.24707,78.533646",4850,257,33
1667440305,2022-11-03T01:51:45Z,IGO2011,"17.25032,78.535622",4950,260,28
1667440308,2022-11-03T01:51:48Z,IGO2011,"17.253656,78.537186",5075,262,22
1667440311,2022-11-03T01:51:51Z,IGO2011,"17.257147,78.538414",5200,264,16
1667440314,2022-11-03T01:51:54Z,IGO2011,"17.260666,78.539284",5300,266,10
1667440317,2022-11-03T01:51:57Z,IGO2011,"17.264328,78.539719",5425,267,4
1667440319,2022-11-03T01:51:59Z,IGO2011,"17.266891,78.539864",5525,267,4
1667440323,2022-11-03T01:52:03Z,IGO2011,"17.270874,78.539764",5725,268,357
1667440326,2022-11-03T01:52:06Z,IGO2011,"17.27549,78.539497",5900,267,356
1667440329,2022-11-03T01:52:09Z,IGO2011,"17.279119,78.539246",6050,267,355
1667440332,2022-11-03T01:52:12Z,IGO2011,"17.28273,78.538994",6225,266,355
1667440335,2022-11-03T01:52:15Z,IGO2011,"17.285294,78.538803",6350,266,356
1667440338,2022-11-03T01:52:18Z,IGO2011,"17.290466,78.538467",6575,266,356
1667440341,2022-11-03T01:52:21Z,IGO2011,"17.291885,78.538368",6700,267,356
1667440344,2022-11-03T01:52:24Z,IGO2011,"17.297554,78.538025",6850,267,356
1667440357,2022-11-03T01:52:37Z,IGO2011,"17.313662,78.537437",7425,272,358
1667440370,2022-11-03T01:52:50Z,IGO2011,"17.329304,78.535179",7875,280,345
1667440372,2022-11-03T01:52:52Z,IGO2011,"17.33313,78.533981",7975,281,342
1667440376,2022-11-03T01:52:56Z,IGO2011,"17.336239,78.532776",8100,283,337
1667440379,2022-11-03T01:52:59Z,IGO2011,"17.340708,78.530617",8225,284,333
1667440381,2022-11-03T01:53:01Z,IGO2011,"17.34407,78.528587",8350,285,328
1667440385,2022-11-03T01:53:05Z,IGO2011,"17.347506,78.526054",8525,286,323
1667440388,2022-11-03T01:53:08Z,IGO2011,"17.350525,78.523476",8675,286,320
1667440391,2022-11-03T01:53:11Z,IGO2011,"17.353651,78.520271",8825,286,314
1667440394,2022-11-03T01:53:14Z,IGO2011,"17.356211,78.517029",8950,286,308
1667440397,2022-11-03T01:53:17Z,IGO2011,"17.358444,78.513748",9100,287,303
1667440400,2022-11-03T01:53:20Z,IGO2011,"17.360586,78.509773",9275,287,298
1667440403,2022-11-03T01:53:23Z,IGO2011,"17.362152,78.506279",9400,287,293
1667440406,2022-11-03T01:53:26Z,IGO2011,"17.36352,78.50251",9550,287,290
1667440409,2022-11-03T01:53:29Z,IGO2011,"17.365082,78.497841",9725,287,288
1667440412,2022-11-03T01:53:32Z,IGO2011,"17.366364,78.493752",9850,288,287
1667440415,2022-11-03T01:53:35Z,IGO2011,"17.367617,78.489716",10000,289,287
1667440419,2022-11-03T01:53:39Z,IGO2011,"17.368965,78.485397",10125,290,288
1667440422,2022-11-03T01:53:42Z,IGO2011,"17.370176,78.481621",10250,291,288
1667440425,2022-11-03T01:53:45Z,IGO2011,"17.371536,78.477417",10350,292,288
1667440428,2022-11-03T01:53:48Z,IGO2011,"17.372877,78.473328",10475,292,288
1667440440,2022-11-03T01:54:00Z,IGO2011,"17.378403,78.456932",10975,296,289
1667440453,2022-11-03T01:54:13Z,IGO2011,"17.38442,78.439835",11525,298,290
1667440465,2022-11-03T01:54:25Z,IGO2011,"17.390333,78.423157",11975,302,290
1667440477,2022-11-03T01:54:37Z,IGO2011,"17.396339,78.406036",12450,306,290
1667440508,2022-11-03T01:55:08Z,IGO2011,"17.41127,78.362633",13725,310,289
1667440538,2022-11-03T01:55:38Z,IGO2011,"17.426239,78.318787",14925,316,289
1667440571,2022-11-03T01:56:11Z,IGO2011,"17.441959,78.272484",16400,314,289
1667440603,2022-11-03T01:56:43Z,IGO2011,"17.457834,78.226044",17600,317,289
1667440634,2022-11-03T01:57:14Z,IGO2011,"17.473009,78.180626",18575,325,289
1667440695,2022-11-03T01:58:15Z,IGO2011,"17.504013,78.0886",20475,336,289
1667440756,2022-11-03T01:59:16Z,IGO2011,"17.536469,77.992905",22150,350,289
1667440818,2022-11-03T02:00:18Z,IGO2011,"17.570211,77.89238",23700,361,289
1667440848,2022-11-03T02:00:48Z,IGO2011,"17.589203,77.842377",24375,365,300
1667440852,2022-11-03T02:00:52Z,IGO2011,"17.592453,77.837173",24450,366,303
1667440855,2022-11-03T02:00:55Z,IGO2011,"17.595257,77.833084",24500,365,306
1667440857,2022-11-03T02:00:57Z,IGO2011,"17.598312,77.829124",24550,365,309
1667440861,2022-11-03T02:01:01Z,IGO2011,"17.602146,77.824699",24600,365,312
1667440864,2022-11-03T02:01:04Z,IGO2011,"17.605728,77.82103",24650,366,316
1667440867,2022-11-03T02:01:07Z,IGO2011,"17.609299,77.817703",24675,365,319
1667440870,2022-11-03T02:01:10Z,IGO2011,"17.61397,77.813957",24725,366,322
1667440873,2022-11-03T02:01:13Z,IGO2011,"17.618113,77.810966",24775,367,326
1667440876,2022-11-03T02:01:16Z,IGO2011,"17.622768,77.808121",24800,367,329
1667440879,2022-11-03T02:01:19Z,IGO2011,"17.627424,77.805717",24850,368,333
1667440882,2022-11-03T02:01:22Z,IGO2011,"17.632507,77.80349",24900,369,338
1667440885,2022-11-03T02:01:25Z,IGO2011,"17.637339,77.801743",24925,369,342
1667440889,2022-11-03T02:01:29Z,IGO2011,"17.642227,77.800369",24975,369,346
1667440892,2022-11-03T02:01:32Z,IGO2011,"17.647156,77.799347",25025,370,350
1667440894,2022-11-03T02:01:34Z,IGO2011,"17.652328,77.798622",25050,371,353
1667440898,2022-11-03T02:01:38Z,IGO2011,"17.658054,77.798264",25100,371,357
1667440901,2022-11-03T02:01:41Z,IGO2011,"17.663177,77.798332",25150,372,1
1667440904,2022-11-03T02:01:44Z,IGO2011,"17.668625,77.798767",25200,372,5
1667440907,2022-11-03T02:01:47Z,IGO2011,"17.673977,77.799583",25250,373,9
1667440910,2022-11-03T02:01:50Z,IGO2011,"17.679199,77.800743",25300,373,12
1667440913,2022-11-03T02:01:53Z,IGO2011,"17.684263,77.802086",25350,375,14
1667440916,2022-11-03T02:01:56Z,IGO2011,"17.68959,77.803589",25425,375,15
1667440919,2022-11-03T02:01:59Z,IGO2011,"17.694077,77.804886",25475,376,15
1667440922,2022-11-03T02:02:02Z,IGO2011,"17.699478,77.806427",25525,377,15
1667440925,2022-11-03T02:02:05Z,IGO2011,"17.704655,77.807877",25600,377,14
1667440928,2022-11-03T02:02:08Z,IGO2011,"17.710236,77.809319",25650,379,14
1667440991,2022-11-03T02:03:11Z,IGO2011,"17.821501,77.834602",26500,403,12
1667441054,2022-11-03T02:04:14Z,IGO2011,"17.940069,77.863098",27325,424,13
1667441115,2022-11-03T02:05:15Z,IGO2011,"18.057953,77.893936",28150,436,13
1667441177,2022-11-03T02:06:17Z,IGO2011,"18.182327,77.92627",29025,447,14
1667441239,2022-11-03T02:07:19Z,IGO2011,"18.307737,77.958687",29800,457,13
1667441301,2022-11-03T02:08:21Z,IGO2011,"18.437433,77.992294",30575,466,14
1667441364,2022-11-03T02:09:24Z,IGO2011,"18.570465,78.026962",31250,476,13
1667441425,2022-11-03T02:10:25Z,IGO2011,"18.701756,78.060959",31975,480,13
1667441486,2022-11-03T02:11:26Z,IGO2011,"18.834476,78.095818",32850,480,14
1667441548,2022-11-03T02:12:28Z,IGO2011,"18.967941,78.130569",33700,479,14
1667441609,2022-11-03T02:13:29Z,IGO2011,"19.09745,78.164177",34025,483,13
1667441670,2022-11-03T02:14:30Z,IGO2011,"19.23315,78.199684",34050,481,13
1667441734,2022-11-03T02:15:34Z,IGO2011,"19.372055,78.236244",34550,486,14
1667441795,2022-11-03T02:16:35Z,IGO2011,"19.50683,78.264008",34950,485,5
1667441856,2022-11-03T02:17:36Z,IGO2011,"19.643555,78.263123",35375,476,354
1667441918,2022-11-03T02:18:38Z,IGO2011,"19.776415,78.235138",35900,465,345
1667441979,2022-11-03T02:19:39Z,IGO2011,"19.904297,78.201569",36025,472,345
1667442039,2022-11-03T02:20:39Z,IGO2011,"20.032871,78.167725",36025,471,345
1667442103,2022-11-03T02:21:43Z,IGO2011,"20.168518,78.131973",36025,474,345
1667442164,2022-11-03T02:22:44Z,IGO2011,"20.298477,78.097641",36050,473,346
1667442225,2022-11-03T02:23:45Z,IGO2011,"20.428705,78.063202",36025,475,345
1667442286,2022-11-03T02:24:46Z,IGO2011,"20.558819,78.028801",36025,476,345
1667442350,2022-11-03T02:25:50Z,IGO2011,"20.696045,77.994888",36050,475,347
1667442412,2022-11-03T02:26:52Z,IGO2011,"20.827238,77.96283",36025,474,346
1667442474,2022-11-03T02:27:54Z,IGO2011,"20.961639,77.929848",36025,464,347
1667442535,2022-11-03T02:28:55Z,IGO2011,"21.087559,77.898811",35675,457,346
1667442596,2022-11-03T02:29:56Z,IGO2011,"21.213089,77.86795",34775,448,346
1667442657,2022-11-03T02:30:57Z,IGO2011,"21.336823,77.837036",34050,456,346
1667442720,2022-11-03T02:32:00Z,IGO2011,"21.468962,77.804565",34025,460,346
1667442781,2022-11-03T02:33:01Z,IGO2011,"21.594818,77.773262",34025,459,346
1667442844,2022-11-03T02:34:04Z,IGO2011,"21.726582,77.740532",34000,458,347
1667442905,2022-11-03T02:35:05Z,IGO2011,"21.852722,77.709198",34000,457,346
1667442968,2022-11-03T02:36:08Z,IGO2011,"21.983414,77.676537",34025,456,346
1667443029,2022-11-03T02:37:09Z,IGO2011,"22.108154,77.645126",34025,454,346
1667443092,2022-11-03T02:38:12Z,IGO2011,"22.238892,77.615463",34000,458,353
1667443153,2022-11-03T02:39:13Z,IGO2011,"22.366516,77.59993",34000,458,353
1667443216,2022-11-03T02:40:16Z,IGO2011,"22.500698,77.582497",34025,459,353
1667443277,2022-11-03T02:41:17Z,IGO2011,"22.628857,77.56617",34025,459,353
1667443340,2022-11-03T02:42:20Z,IGO2011,"22.762527,77.549042",34050,458,353
1667443401,2022-11-03T02:43:21Z,IGO2011,"22.890852,77.5326",34050,456,353
1667443464,2022-11-03T02:44:24Z,IGO2011,"23.02327,77.515434",34050,450,353
1667443525,2022-11-03T02:45:25Z,IGO2011,"23.14595,77.499657",34025,446,353
1667443588,2022-11-03T02:46:28Z,IGO2011,"23.277649,77.48278",33975,443,353
1667443649,2022-11-03T02:47:29Z,IGO2011,"23.401245,77.46685",34000,442,353
1667443712,2022-11-03T02:48:32Z,IGO2011,"23.529053,77.450371",34025,440,353
1667443773,2022-11-03T02:49:33Z,IGO2011,"23.651703,77.434441",34025,437,353
1667443836,2022-11-03T02:50:36Z,IGO2011,"23.778992,77.417854",34025,435,353
1667443897,2022-11-03T02:51:37Z,IGO2011,"23.900299,77.401886",34000,435,353
1667443960,2022-11-03T02:52:40Z,IGO2011,"24.026642,77.38546",34000,434,353
1667444021,2022-11-03T02:53:41Z,IGO2011,"24.147629,77.36969",34025,434,353
1667444084,2022-11-03T02:54:44Z,IGO2011,"24.274803,77.352974",34025,434,352
1667444147,2022-11-03T02:55:47Z,IGO2011,"24.401459,77.336174",34050,434,353
1667444208,2022-11-03T02:56:48Z,IGO2011,"24.521805,77.320457",34075,432,353
1667444271,2022-11-03T02:57:51Z,IGO2011,"24.647324,77.303925",34075,426,353
1667444332,2022-11-03T02:58:52Z,IGO2011,"24.764719,77.288452",34075,416,353
1667444395,2022-11-03T02:59:55Z,IGO2011,"24.885756,77.272545",34000,409,353
1667444458,2022-11-03T03:00:58Z,IGO2011,"25.003967,77.257233",33950,408,355
1667444518,2022-11-03T03:01:58Z,IGO2011,"25.118889,77.25296",34025,416,357
1667444582,2022-11-03T03:03:02Z,IGO2011,"25.240484,77.248497",34025,406,358
1667444644,2022-11-03T03:04:04Z,IGO2011,"25.355793,77.244095",34025,409,358
1667444705,2022-11-03T03:05:05Z,IGO2011,"25.47171,77.240089",34050,410,358
1667444765,2022-11-03T03:06:05Z,IGO2011,"25.588257,77.235771",34050,412,358
1667444826,2022-11-03T03:07:06Z,IGO2011,"25.704657,77.231506",34050,412,358
1667444890,2022-11-03T03:08:10Z,IGO2011,"25.824966,77.227325",34025,412,358
1667444950,2022-11-03T03:09:10Z,IGO2011,"25.940781,77.223007",34025,412,358
1667445013,2022-11-03T03:10:13Z,IGO2011,"26.059616,77.218597",34025,412,358
1667445074,2022-11-03T03:11:14Z,IGO2011,"26.178772,77.213936",34025,426,357
1667445136,2022-11-03T03:12:16Z,IGO2011,"26.300858,77.207352",33725,425,357
1667445196,2022-11-03T03:13:16Z,IGO2011,"26.423981,77.201141",32675,446,357
1667445259,2022-11-03T03:14:19Z,IGO2011,"26.555328,77.194862",31750,452,357
1667445320,2022-11-03T03:15:20Z,IGO2011,"26.684069,77.188202",30650,458,357
1667445382,2022-11-03T03:16:22Z,IGO2011,"26.816528,77.181236",29125,467,357
1667445445,2022-11-03T03:17:25Z,IGO2011,"26.950766,77.174255",26850,452,357
1667445507,2022-11-03T03:18:27Z,IGO2011,"27.074827,77.167809",24675,427,357
1667445570,2022-11-03T03:19:30Z,IGO2011,"27.201916,77.160942",22275,434,357
1667445633,2022-11-03T03:20:33Z,IGO2011,"27.325279,77.154449",20075,410,357
1667445697,2022-11-03T03:21:37Z,IGO2011,"27.441147,77.148476",18025,390,357
1667445760,2022-11-03T03:22:40Z,IGO2011,"27.551697,77.142471",16325,362,357
1667445792,2022-11-03T03:23:12Z,IGO2011,"27.60166,77.139923",15800,342,357
1667445825,2022-11-03T03:23:45Z,IGO2011,"27.655609,77.138687",14900,333,5
1667445828,2022-11-03T03:23:48Z,IGO2011,"27.659338,77.139183",14800,333,7
1667445831,2022-11-03T03:23:51Z,IGO2011,"27.664352,77.140038",14700,333,9
1667445834,2022-11-03T03:23:54Z,IGO2011,"27.669708,77.141075",14600,332,10
1667445837,2022-11-03T03:23:57Z,IGO2011,"27.674423,77.142059",14525,332,10
1667445840,2022-11-03T03:24:00Z,IGO2011,"27.67861,77.142929",14450,331,10
1667445843,2022-11-03T03:24:03Z,IGO2011,"27.683126,77.143883",14375,330,10
1667445846,2022-11-03T03:24:06Z,IGO2011,"27.688015,77.144943",14275,330,10
1667445849,2022-11-03T03:24:09Z,IGO2011,"27.692484,77.145889",14200,330,10
1667445882,2022-11-03T03:24:42Z,IGO2011,"27.741037,77.155396",13375,318,9
1667445913,2022-11-03T03:25:13Z,IGO2011,"27.783691,77.163254",12625,310,9
1667445946,2022-11-03T03:25:46Z,IGO2011,"27.831573,77.172272",11650,307,9
1667445958,2022-11-03T03:25:58Z,IGO2011,"27.848785,77.175583",11300,306,9
1667445970,2022-11-03T03:26:10Z,IGO2011,"27.865173,77.178749",11075,302,9
1667445982,2022-11-03T03:26:22Z,IGO2011,"27.881485,77.181915",10900,294,9
1667445994,2022-11-03T03:26:34Z,IGO2011,"27.897903,77.18512",10750,286,9
1667446006,2022-11-03T03:26:46Z,IGO2011,"27.912582,77.187988",10575,279,9
1667446018,2022-11-03T03:26:58Z,IGO2011,"27.928503,77.190994",10300,276,9
1667446030,2022-11-03T03:27:10Z,IGO2011,"27.942627,77.193642",10075,272,9
1667446042,2022-11-03T03:27:22Z,IGO2011,"27.958511,77.196594",10025,261,9
1667446054,2022-11-03T03:27:34Z,IGO2011,"27.972681,77.19931",10025,254,9
1667446067,2022-11-03T03:27:47Z,IGO2011,"27.986507,77.202003",10000,251,9
1667446079,2022-11-03T03:27:59Z,IGO2011,"28.000008,77.20459",10000,250,9
1667446091,2022-11-03T03:28:11Z,IGO2011,"28.014175,77.207321",10000,249,9
1667446103,2022-11-03T03:28:23Z,IGO2011,"28.028172,77.21003",10000,249,9
1667446115,2022-11-03T03:28:35Z,IGO2011,"28.041733,77.212708",10000,250,9
