Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1661488308,2022-08-26T04:31:48Z,AIC543,"17.233543,78.43177",0,5,247
1661488391,2022-08-26T04:33:11Z,AIC543,"17.232525,78.435814",0,18,87
1661488414,2022-08-26T04:33:34Z,AIC543,"17.232555,78.438019",0,21,87
1661488430,2022-08-26T04:33:50Z,AIC543,"17.23258,78.439758",0,22,87
1661488438,2022-08-26T04:33:58Z,AIC543,"17.232594,78.440697",0,22,90
1661488444,2022-08-26T04:34:04Z,AIC543,"17.232605,78.441322",0,21,90
1661488452,2022-08-26T04:34:12Z,AIC543,"17.232616,78.442093",0,20,90
1661488465,2022-08-26T04:34:25Z,AIC543,"17.232626,78.443275",0,15,90
1661488473,2022-08-26T04:34:33Z,AIC543,"17.232439,78.443672",0,11,132
1661488479,2022-08-26T04:34:39Z,AIC543,"17.232159,78.443657",0,11,177
1661488485,2022-08-26T04:34:45Z,AIC543,"17.23185,78.443657",0,11,180
1661488489,2022-08-26T04:34:49Z,AIC543,"17.231621,78.443657",0,11,180
1661488494,2022-08-26T04:34:54Z,AIC543,"17.231358,78.443657",0,10,177
1661488499,2022-08-26T04:34:59Z,AIC543,"17.231136,78.443756",0,9,157
1661488507,2022-08-26T04:35:07Z,AIC543,"17.231037,78.444031",0,9,112
1661488512,2022-08-26T04:35:12Z,AIC543,"17.23106,78.444252",0,9,90
1661488516,2022-08-26T04:35:16Z,AIC543,"17.231066,78.444458",0,9,87
1661488535,2022-08-26T04:35:35Z,AIC543,"17.231077,78.445427",0,13,87
1661488555,2022-08-26T04:35:55Z,AIC543,"17.231106,78.446861",0,16,90
1661488561,2022-08-26T04:36:01Z,AIC543,"17.231113,78.447426",0,17,90
1661488572,2022-08-26T04:36:12Z,AIC543,"17.231113,78.448326",0,17,90
1661488578,2022-08-26T04:36:18Z,AIC543,"17.231125,78.448845",0,17,87
1661488584,2022-08-26T04:36:24Z,AIC543,"17.231136,78.449348",0,18,90
1661488590,2022-08-26T04:36:30Z,AIC543,"17.231136,78.449921",0,18,90
1661488595,2022-08-26T04:36:35Z,AIC543,"17.231148,78.450424",0,19,87
1661488602,2022-08-26T04:36:42Z,AIC543,"17.231163,78.451065",0,19,90
1661488607,2022-08-26T04:36:47Z,AIC543,"17.231159,78.451569",0,20,90
1661488639,2022-08-26T04:37:19Z,AIC543,"17.230915,78.453163",0,7,143
1661488648,2022-08-26T04:37:28Z,AIC543,"17.230659,78.453163",0,5,174
1661488662,2022-08-26T04:37:42Z,AIC543,"17.230427,78.453163",0,2,180
1661488757,2022-08-26T04:39:17Z,AIC543,"17.230158,78.453163",0,4,180
1661488766,2022-08-26T04:39:26Z,AIC543,"17.229916,78.453079",0,6,196
1661488777,2022-08-26T04:39:37Z,AIC543,"17.229664,78.452873",0,6,216
1661488786,2022-08-26T04:39:46Z,AIC543,"17.229448,78.452705",0,6,216
1661488796,2022-08-26T04:39:56Z,AIC543,"17.229218,78.452477",0,8,225
1661488802,2022-08-26T04:40:02Z,AIC543,"17.229158,78.452202",0,10,255
1661488805,2022-08-26T04:40:05Z,AIC543,"17.229158,78.451996",0,14,267
1661488808,2022-08-26T04:40:08Z,AIC543,"17.229147,78.451759",0,17,267
1661488811,2022-08-26T04:40:11Z,AIC543,"17.229137,78.451515",0,22,267
1661488815,2022-08-26T04:40:15Z,AIC543,"17.229126,78.450783",0,41,270
1661488818,2022-08-26T04:40:18Z,AIC543,"17.229115,78.450066",0,55,270
1661488819,2022-08-26T04:40:19Z,AIC543,"17.229111,78.449814",0,59,270
1661488820,2022-08-26T04:40:20Z,AIC543,"17.229111,78.449509",0,63,270
1661488821,2022-08-26T04:40:21Z,AIC543,"17.229103,78.44912",0,68,270
1661488823,2022-08-26T04:40:23Z,AIC543,"17.229088,78.448265",0,76,270
1661488824,2022-08-26T04:40:24Z,AIC543,"17.229088,78.448059",0,80,270
1661488843,2022-08-26T04:40:43Z,AIC543,"17.228943,78.437225",2125,142,269
1661488852,2022-08-26T04:40:52Z,AIC543,"17.228844,78.429581",2100,177,269
1661488862,2022-08-26T04:41:02Z,AIC543,"17.228704,78.42041",2275,188,268
1661488872,2022-08-26T04:41:12Z,AIC543,"17.228531,78.411209",2550,194,268
1661488881,2022-08-26T04:41:21Z,AIC543,"17.228394,78.402435",2925,191,269
1661488887,2022-08-26T04:41:27Z,AIC543,"17.228302,78.396896",3125,188,269
1661488894,2022-08-26T04:41:34Z,AIC543,"17.228256,78.391357",3250,191,269
1661488899,2022-08-26T04:41:39Z,AIC543,"17.228191,78.386276",3325,197,269
1661488905,2022-08-26T04:41:45Z,AIC543,"17.228098,78.380241",3375,202,269
1661488911,2022-08-26T04:41:51Z,AIC543,"17.228006,78.373917",3425,209,269
1661488917,2022-08-26T04:41:57Z,AIC543,"17.227913,78.368271",3500,214,268
1661488924,2022-08-26T04:42:04Z,AIC543,"17.227798,78.361481",3575,221,269
1661488930,2022-08-26T04:42:10Z,AIC543,"17.22768,78.354492",3650,225,268
1661488936,2022-08-26T04:42:16Z,AIC543,"17.227587,78.347969",3725,232,269
1661488942,2022-08-26T04:42:22Z,AIC543,"17.227524,78.341095",3800,240,269
1661488948,2022-08-26T04:42:28Z,AIC543,"17.227478,78.334686",3875,245,270
1661488954,2022-08-26T04:42:34Z,AIC543,"17.22789,78.328041",3975,251,277
1661488957,2022-08-26T04:42:37Z,AIC543,"17.228563,78.323448",4050,254,279
1661488960,2022-08-26T04:42:40Z,AIC543,"17.229538,78.319221",4125,253,284
1661488963,2022-08-26T04:42:43Z,AIC543,"17.230379,78.315994",4225,253,285
1661488967,2022-08-26T04:42:47Z,AIC543,"17.231964,78.310448",4400,254,286
1661488971,2022-08-26T04:42:51Z,AIC543,"17.233109,78.306358",4550,253,286
1661488974,2022-08-26T04:42:54Z,AIC543,"17.234024,78.303268",4650,253,286
1661488977,2022-08-26T04:42:57Z,AIC543,"17.235168,78.299171",4800,253,286
1661488980,2022-08-26T04:43:00Z,AIC543,"17.236385,78.295097",4925,254,286
1661488987,2022-08-26T04:43:07Z,AIC543,"17.23819,78.288963",5150,252,287
1661488999,2022-08-26T04:43:19Z,AIC543,"17.242584,78.273827",5600,255,286
1661489011,2022-08-26T04:43:31Z,AIC543,"17.246841,78.259232",5925,259,287
1661489024,2022-08-26T04:43:44Z,AIC543,"17.251188,78.244484",6350,261,286
1661489036,2022-08-26T04:43:56Z,AIC543,"17.255676,78.229164",6775,261,287
1661489048,2022-08-26T04:44:08Z,AIC543,"17.260033,78.214218",7225,263,286
1661489060,2022-08-26T04:44:20Z,AIC543,"17.264317,78.199356",7675,264,286
1661489073,2022-08-26T04:44:33Z,AIC543,"17.268768,78.184204",8025,267,286
1661489085,2022-08-26T04:44:45Z,AIC543,"17.273254,78.168976",8400,270,287
1661489097,2022-08-26T04:44:57Z,AIC543,"17.277786,78.153557",8800,271,286
1661489109,2022-08-26T04:45:09Z,AIC543,"17.282135,78.138428",9200,273,286
1661489121,2022-08-26T04:45:21Z,AIC543,"17.286575,78.123108",9575,273,286
1661489133,2022-08-26T04:45:33Z,AIC543,"17.291153,78.107445",9925,277,286
1661489144,2022-08-26T04:45:44Z,AIC543,"17.295181,78.093666",10175,281,287
1661489158,2022-08-26T04:45:58Z,AIC543,"17.300442,78.075615",10425,289,286
1661489170,2022-08-26T04:46:10Z,AIC543,"17.30505,78.059624",10650,296,286
1661489182,2022-08-26T04:46:22Z,AIC543,"17.310171,78.042023",10875,304,286
1661489194,2022-08-26T04:46:34Z,AIC543,"17.315105,78.024948",11100,311,286
1661489207,2022-08-26T04:46:47Z,AIC543,"17.320366,78.006851",11375,317,286
1661489219,2022-08-26T04:46:59Z,AIC543,"17.325579,77.988853",11650,322,286
1661489231,2022-08-26T04:47:11Z,AIC543,"17.330887,77.970459",11925,326,286
1661489244,2022-08-26T04:47:24Z,AIC543,"17.336472,77.951225",12200,331,286
1661489276,2022-08-26T04:47:56Z,AIC543,"17.351028,77.900871",13000,340,286
1661489310,2022-08-26T04:48:30Z,AIC543,"17.366776,77.846619",13800,348,286
1661489340,2022-08-26T04:49:00Z,AIC543,"17.381241,77.796837",14625,354,286
1661489373,2022-08-26T04:49:33Z,AIC543,"17.396944,77.742203",15400,361,286
1661489405,2022-08-26T04:50:05Z,AIC543,"17.412323,77.688858",16450,355,286
1661489439,2022-08-26T04:50:39Z,AIC543,"17.427948,77.634399",17425,352,286
1661489454,2022-08-26T04:50:54Z,AIC543,"17.436859,77.610313",17750,354,298
1661489457,2022-08-26T04:50:57Z,AIC543,"17.439468,77.60569",17825,355,300
1661489460,2022-08-26T04:51:00Z,AIC543,"17.442146,77.601631",17875,355,305
1661489463,2022-08-26T04:51:03Z,AIC543,"17.445374,77.59745",17925,355,310
1661489465,2022-08-26T04:51:05Z,AIC543,"17.447525,77.595039",17950,355,311
1661489468,2022-08-26T04:51:08Z,AIC543,"17.45192,77.590698",18025,355,317
1661489471,2022-08-26T04:51:11Z,AIC543,"17.455786,77.587509",18075,356,321
1661489475,2022-08-26T04:51:15Z,AIC543,"17.460581,77.58403",18150,356,326
1661489478,2022-08-26T04:51:18Z,AIC543,"17.464645,77.581306",18200,356,327
1661489480,2022-08-26T04:51:20Z,AIC543,"17.468168,77.579025",18275,356,327
1661489483,2022-08-26T04:51:23Z,AIC543,"17.472404,77.576279",18350,356,328
1661489487,2022-08-26T04:51:27Z,AIC543,"17.4776,77.572968",18425,357,328
1661489490,2022-08-26T04:51:30Z,AIC543,"17.481436,77.570541",18475,358,328
1661489493,2022-08-26T04:51:33Z,AIC543,"17.485886,77.567719",18550,358,328
1661489496,2022-08-26T04:51:36Z,AIC543,"17.490047,77.565048",18600,359,328
1661489499,2022-08-26T04:51:39Z,AIC543,"17.494766,77.562035",18650,360,328
1661489561,2022-08-26T04:52:41Z,AIC543,"17.58157,77.505753",20150,359,328
1661489624,2022-08-26T04:53:44Z,AIC543,"17.672113,77.446846",21525,362,328
1661489684,2022-08-26T04:54:44Z,AIC543,"17.758469,77.390831",22800,366,328
1661489737,2022-08-26T04:55:37Z,AIC543,"17.837265,77.342789",23675,369,338
1661489741,2022-08-26T04:55:41Z,AIC543,"17.842356,77.341103",23725,369,343
1661489745,2022-08-26T04:55:45Z,AIC543,"17.849808,77.339317",23800,369,348
1661489748,2022-08-26T04:55:48Z,AIC543,"17.853621,77.338745",23850,368,352
1661489751,2022-08-26T04:55:51Z,AIC543,"17.859695,77.338112",23900,367,355
1661489754,2022-08-26T04:55:54Z,AIC543,"17.864933,77.338013",23950,366,359
1661489757,2022-08-26T04:55:57Z,AIC543,"17.869949,77.338257",24025,365,3
1661489760,2022-08-26T04:56:00Z,AIC543,"17.875626,77.338882",24075,364,6
1661489763,2022-08-26T04:56:03Z,AIC543,"17.880621,77.339775",24125,364,10
1661489766,2022-08-26T04:56:06Z,AIC543,"17.885422,77.340858",24175,363,12
1661489770,2022-08-26T04:56:10Z,AIC543,"17.891096,77.342232",24250,363,13
