Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1667278139,2022-11-01T04:48:59Z,VTI830,"17.232376,78.42466",0,18,270
1667278146,2022-11-01T04:49:06Z,VTI830,"17.23237,78.424065",0,15,270
1667278157,2022-11-01T04:49:17Z,VTI830,"17.232353,78.423325",0,13,270
1667278163,2022-11-01T04:49:23Z,VTI830,"17.232353,78.422943",0,11,270
1667278170,2022-11-01T04:49:30Z,VTI830,"17.232319,78.422638",0,9,264
1667278179,2022-11-01T04:49:39Z,VTI830,"17.232056,78.422371",0,9,216
1667278239,2022-11-01T04:50:39Z,VTI830,"17.23074,78.420662",0,9,270
1667278257,2022-11-01T04:50:57Z,VTI830,"17.230717,78.419746",0,10,267
1667278263,2022-11-01T04:51:03Z,VTI830,"17.230717,78.419456",0,11,270
1667278294,2022-11-01T04:51:34Z,VTI830,"17.230705,78.417961",0,8,270
1667278300,2022-11-01T04:51:40Z,VTI830,"17.230705,78.417725",0,8,270
1667278309,2022-11-01T04:51:49Z,VTI830,"17.230694,78.417381",0,8,270
1667278315,2022-11-01T04:51:55Z,VTI830,"17.230694,78.417107",0,9,270
1667278324,2022-11-01T04:52:04Z,VTI830,"17.230682,78.416748",0,8,270
1667278330,2022-11-01T04:52:10Z,VTI830,"17.230682,78.416481",0,8,270
1667278336,2022-11-01T04:52:16Z,VTI830,"17.230682,78.416275",0,7,270
1667278344,2022-11-01T04:52:24Z,VTI830,"17.230682,78.416069",0,5,270
1667278357,2022-11-01T04:52:37Z,VTI830,"17.230671,78.415863",0,1,270
1667278484,2022-11-01T04:54:44Z,VTI830,"17.230671,78.415642",0,4,270
1667278493,2022-11-01T04:54:53Z,VTI830,"17.230671,78.415405",0,6,270
1667278501,2022-11-01T04:55:01Z,VTI830,"17.230671,78.415138",0,7,270
1667278510,2022-11-01T04:55:10Z,VTI830,"17.230659,78.414841",0,7,270
1667278515,2022-11-01T04:55:15Z,VTI830,"17.230659,78.414604",0,8,270
1667278522,2022-11-01T04:55:22Z,VTI830,"17.230659,78.41433",0,10,270
1667278528,2022-11-01T04:55:28Z,VTI830,"17.230648,78.414009",0,11,270
1667278536,2022-11-01T04:55:36Z,VTI830,"17.230577,78.41362",0,11,253
1667278542,2022-11-01T04:55:42Z,VTI830,"17.230356,78.413399",0,10,222
1667278547,2022-11-01T04:55:47Z,VTI830,"17.230135,78.413345",0,9,196
1667278913,2022-11-01T05:01:53Z,VTI830,"17.229389,78.413353",0,11,180
1667278917,2022-11-01T05:01:57Z,VTI830,"17.22917,78.413361",0,11,180
1667278924,2022-11-01T05:02:04Z,VTI830,"17.228855,78.413376",0,9,174
1667278936,2022-11-01T05:02:16Z,VTI830,"17.2286,78.413666",0,7,120
1667278943,2022-11-01T05:02:23Z,VTI830,"17.228611,78.413902",0,8,92
1667278949,2022-11-01T05:02:29Z,VTI830,"17.228622,78.414253",0,17,90
1667278953,2022-11-01T05:02:33Z,VTI830,"17.228634,78.414894",0,36,90
1667278955,2022-11-01T05:02:35Z,VTI830,"17.228634,78.415199",0,46,90
1667278957,2022-11-01T05:02:37Z,VTI830,"17.228634,78.41571",0,55,90
1667278960,2022-11-01T05:02:40Z,VTI830,"17.228657,78.416832",0,68,90
1667278998,2022-11-01T05:03:18Z,VTI830,"17.229034,78.439781",2200,166,88
1667279004,2022-11-01T05:03:24Z,VTI830,"17.229216,78.445328",2425,166,87
1667279010,2022-11-01T05:03:30Z,VTI830,"17.229401,78.450722",2650,168,87
1667279016,2022-11-01T05:03:36Z,VTI830,"17.229588,78.455673",2850,171,88
1667279022,2022-11-01T05:03:42Z,VTI830,"17.229675,78.460213",3000,178,89
1667279028,2022-11-01T05:03:48Z,VTI830,"17.229681,78.466461",3150,184,90
1667279034,2022-11-01T05:03:54Z,VTI830,"17.229675,78.47139",3300,190,90
1667279040,2022-11-01T05:04:00Z,VTI830,"17.22963,78.477173",3475,196,90
1667279046,2022-11-01T05:04:06Z,VTI830,"17.229635,78.483437",3625,204,90
1667279052,2022-11-01T05:04:12Z,VTI830,"17.229588,78.488831",3750,209,90
1667279058,2022-11-01T05:04:18Z,VTI830,"17.229588,78.495743",3875,221,89
1667279064,2022-11-01T05:04:24Z,VTI830,"17.229904,78.502281",3975,229,85
1667279067,2022-11-01T05:04:27Z,VTI830,"17.230499,78.50618",4075,233,79
1667279070,2022-11-01T05:04:30Z,VTI830,"17.231264,78.50943",4200,236,75
1667279073,2022-11-01T05:04:33Z,VTI830,"17.232288,78.512718",4325,237,72
1667279076,2022-11-01T05:04:36Z,VTI830,"17.2332,78.514999",4400,239,67
1667279079,2022-11-01T05:04:39Z,VTI830,"17.235081,78.518898",4575,241,61
1667279082,2022-11-01T05:04:42Z,VTI830,"17.236862,78.521843",4700,243,58
