Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1666658416,2022-10-25T00:40:16Z,SEJ160,"17.232101,78.431602",0,12,180
1666658446,2022-10-25T00:40:46Z,SEJ160,"17.230915,78.432251",0,13,101
1666658484,2022-10-25T00:41:24Z,SEJ160,"17.230938,78.435722",0,24,90
1666658491,2022-10-25T00:41:31Z,SEJ160,"17.230938,78.436501",0,24,90
1666658496,2022-10-25T00:41:36Z,SEJ160,"17.230938,78.437111",0,23,90
1666658503,2022-10-25T00:41:43Z,SEJ160,"17.230949,78.437759",0,22,90
1666658508,2022-10-25T00:41:48Z,SEJ160,"17.230961,78.438286",0,20,90
1666658514,2022-10-25T00:41:54Z,SEJ160,"17.230968,78.438828",0,19,90
1666658522,2022-10-25T00:42:02Z,SEJ160,"17.230974,78.439537",0,18,90
1666658528,2022-10-25T00:42:08Z,SEJ160,"17.23098,78.44001",0,17,90
1666658535,2022-10-25T00:42:15Z,SEJ160,"17.230986,78.440491",0,15,90
1666658540,2022-10-25T00:42:20Z,SEJ160,"17.230997,78.440887",0,14,90
1666658549,2022-10-25T00:42:29Z,SEJ160,"17.231003,78.441406",0,13,87
1666658554,2022-10-25T00:42:34Z,SEJ160,"17.231003,78.441719",0,12,90
1666658561,2022-10-25T00:42:41Z,SEJ160,"17.231014,78.442085",0,11,90
1666658567,2022-10-25T00:42:47Z,SEJ160,"17.23102,78.44236",0,10,90
1666658573,2022-10-25T00:42:53Z,SEJ160,"17.230991,78.442596",0,9,101
1666658578,2022-10-25T00:42:58Z,SEJ160,"17.230904,78.442802",0,8,118
1666658585,2022-10-25T00:43:05Z,SEJ160,"17.230694,78.44297",0,8,149
1666658592,2022-10-25T00:43:12Z,SEJ160,"17.230484,78.443024",0,6,160
1666658600,2022-10-25T00:43:20Z,SEJ160,"17.230263,78.443031",0,7,160
1666658606,2022-10-25T00:43:26Z,SEJ160,"17.23003,78.443031",0,9,180
1666658611,2022-10-25T00:43:31Z,SEJ160,"17.22982,78.443047",0,10,180
1666658616,2022-10-25T00:43:36Z,SEJ160,"17.229595,78.443008",0,11,191
