Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1666855450,2022-10-27T07:24:10Z,CSN383,"23.09436,113.206772",6900,292,191
1666855461,2022-10-27T07:24:21Z,CSN383,"23.079529,113.203377",6900,294,191
1666855476,2022-10-27T07:24:36Z,CSN383,"23.058472,113.198532",6925,294,192
1666855502,2022-10-27T07:25:02Z,CSN383,"23.024231,113.191536",6900,295,186
1666855523,2022-10-27T07:25:23Z,CSN383,"22.996246,113.199059",7225,288,159
1666855526,2022-10-27T07:25:26Z,CSN383,"22.992462,113.200577",7325,290,159
1666855529,2022-10-27T07:25:29Z,CSN383,"22.98852,113.202057",7450,290,160
1666855532,2022-10-27T07:25:32Z,CSN383,"22.985138,113.203323",7550,291,160
1666855545,2022-10-27T07:25:45Z,CSN383,"22.969061,113.208977",8150,290,162
1666855557,2022-10-27T07:25:57Z,CSN383,"22.953419,113.214211",8650,292,162
1666855569,2022-10-27T07:26:09Z,CSN383,"22.937714,113.219452",9050,296,162
1666855581,2022-10-27T07:26:21Z,CSN383,"22.920973,113.224998",9500,299,162
1666855592,2022-10-27T07:26:32Z,CSN383,"22.906815,113.22979",9850,303,162
1666855612,2022-10-27T07:26:52Z,CSN383,"22.879211,113.239227",10525,309,162
1666855630,2022-10-27T07:27:10Z,CSN383,"22.855612,113.247429",11125,314,162
1666855643,2022-10-27T07:27:23Z,CSN383,"22.837225,113.253838",11675,313,162
1666855654,2022-10-27T07:27:34Z,CSN383,"22.823118,113.25872",12150,312,162
1666855685,2022-10-27T07:28:05Z,CSN383,"22.77964,113.273872",13275,314,162
1666855715,2022-10-27T07:28:35Z,CSN383,"22.736801,113.288719",14375,316,162
1666855749,2022-10-27T07:29:09Z,CSN383,"22.692032,113.304253",15400,322,162
1666855782,2022-10-27T07:29:42Z,CSN383,"22.640913,113.321938",16175,337,162
1666855812,2022-10-27T07:30:12Z,CSN383,"22.596176,113.33741",17025,346,162
1666855845,2022-10-27T07:30:45Z,CSN383,"22.544271,113.355309",17925,352,162
1666855876,2022-10-27T07:31:16Z,CSN383,"22.495903,113.37204",18700,362,162
1666855940,2022-10-27T07:32:20Z,CSN383,"22.3913,113.408104",20450,371,162
1666856001,2022-10-27T07:33:21Z,CSN383,"22.291679,113.441925",22025,375,165
1666856008,2022-10-27T07:33:28Z,CSN383,"22.279541,113.443977",22200,374,172
1666856011,2022-10-27T07:33:31Z,CSN383,"22.274414,113.444221",22250,373,176
1666856014,2022-10-27T07:33:34Z,CSN383,"22.269058,113.444122",22350,374,179
1666856017,2022-10-27T07:33:37Z,CSN383,"22.26412,113.443703",22400,374,183
1666856019,2022-10-27T07:33:39Z,CSN383,"22.258987,113.442924",22475,374,187
1666856023,2022-10-27T07:33:43Z,CSN383,"22.252945,113.441528",22550,373,190
1666856026,2022-10-27T07:33:46Z,CSN383,"22.248013,113.440094",22625,374,195
1666856029,2022-10-27T07:33:49Z,CSN383,"22.242325,113.438034",22675,373,197
1666856031,2022-10-27T07:33:51Z,CSN383,"22.239353,113.43679",22725,374,200
1666856035,2022-10-27T07:33:55Z,CSN383,"22.232744,113.433434",22800,374,205
1666856038,2022-10-27T07:33:58Z,CSN383,"22.228043,113.430641",22850,373,208
1666856042,2022-10-27T07:34:02Z,CSN383,"22.223923,113.427742",22900,373,212
1666856044,2022-10-27T07:34:04Z,CSN383,"22.219849,113.424583",22975,374,215
1666856048,2022-10-27T07:34:08Z,CSN383,"22.215101,113.420464",23025,374,219
1666856050,2022-10-27T07:34:10Z,CSN383,"22.211842,113.417152",23075,374,221
1666856054,2022-10-27T07:34:14Z,CSN383,"22.208221,113.413162",23150,374,226
1666856057,2022-10-27T07:34:17Z,CSN383,"22.204056,113.407822",23200,374,228
1666856060,2022-10-27T07:34:20Z,CSN383,"22.200897,113.403229",23275,375,232
1666856063,2022-10-27T07:34:23Z,CSN383,"22.198109,113.398643",23350,376,235
1666856066,2022-10-27T07:34:26Z,CSN383,"22.195129,113.393036",23400,376,240
1666856069,2022-10-27T07:34:29Z,CSN383,"22.193081,113.388618",23475,375,243
1666856072,2022-10-27T07:34:32Z,CSN383,"22.190706,113.382721",23550,375,246
1666856075,2022-10-27T07:34:35Z,CSN383,"22.188675,113.377357",23625,376,247
1666856079,2022-10-27T07:34:39Z,CSN383,"22.186707,113.372017",23675,376,248
1666856082,2022-10-27T07:34:42Z,CSN383,"22.18483,113.36692",23750,377,248
1666856085,2022-10-27T07:34:45Z,CSN383,"22.182886,113.361664",23800,378,248
1666856088,2022-10-27T07:34:48Z,CSN383,"22.18103,113.356537",23875,378,248
1666856091,2022-10-27T07:34:51Z,CSN383,"22.178883,113.350777",23950,378,248
1666856152,2022-10-27T07:35:52Z,CSN383,"22.138458,113.241829",25100,389,248
1666856214,2022-10-27T07:36:54Z,CSN383,"22.08847,113.132912",26225,399,235
1666856217,2022-10-27T07:36:57Z,CSN383,"22.085037,113.12767",26275,400,235
1666856278,2022-10-27T07:37:58Z,CSN383,"22.020905,113.026947",27425,404,236
1666856339,2022-10-27T07:38:59Z,CSN383,"21.958319,112.923225",28475,408,238
1666856401,2022-10-27T07:40:01Z,CSN383,"21.909164,112.809265",29625,406,247
1666856461,2022-10-27T07:41:01Z,CSN383,"21.864212,112.699005",30650,405,246
