Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1665824804,2022-10-15T09:06:44Z,UAE6AQ,"53.358139,-2.274917",0,0,50
1665825362,2022-10-15T09:16:02Z,UAE6AQ,"53.358047,-2.275139",0,2,47
1665825383,2022-10-15T09:16:23Z,UAE6AQ,"53.357918,-2.275347",0,2,53
1665825409,2022-10-15T09:16:49Z,UAE6AQ,"53.357708,-2.275563",0,2,90
1665825425,2022-10-15T09:17:05Z,UAE6AQ,"53.357677,-2.275779",0,2,106
1665825437,2022-10-15T09:17:17Z,UAE6AQ,"53.357677,-2.275995",0,2,118
1665825452,2022-10-15T09:17:32Z,UAE6AQ,"53.357662,-2.27621",0,1,140
1665825475,2022-10-15T09:17:55Z,UAE6AQ,"53.35778,-2.276446",0,2,160
1665825505,2022-10-15T09:18:25Z,UAE6AQ,"53.35799,-2.276634",0,2,185
1665825528,2022-10-15T09:18:48Z,UAE6AQ,"53.358204,-2.276603",0,2,191
1665825606,2022-10-15T09:20:06Z,UAE6AQ,"53.357979,-2.276613",0,2,185
1665825625,2022-10-15T09:20:25Z,UAE6AQ,"53.357769,-2.276622",0,2,182
1665825650,2022-10-15T09:20:50Z,UAE6AQ,"53.357559,-2.276513",0,2,168
1665825838,2022-10-15T09:23:58Z,UAE6AQ,"53.357315,-2.276392",0,2,163
1665825850,2022-10-15T09:24:10Z,UAE6AQ,"53.357105,-2.27627",0,5,163
1665825859,2022-10-15T09:24:19Z,UAE6AQ,"53.356888,-2.276112",0,6,157
1665825865,2022-10-15T09:24:25Z,UAE6AQ,"53.356716,-2.275896",0,7,149
1665825872,2022-10-15T09:24:32Z,UAE6AQ,"53.356533,-2.275661",0,7,143
1665825880,2022-10-15T09:24:40Z,UAE6AQ,"53.356323,-2.275382",0,8,140
1665825886,2022-10-15T09:24:46Z,UAE6AQ,"53.356155,-2.275171",0,7,140
1665825893,2022-10-15T09:24:53Z,UAE6AQ,"53.356068,-2.274897",0,6,126
1665825899,2022-10-15T09:24:59Z,UAE6AQ,"53.356144,-2.27468",0,5,95
1665825908,2022-10-15T09:25:08Z,UAE6AQ,"53.356247,-2.274464",0,4,70
1665825918,2022-10-15T09:25:18Z,UAE6AQ,"53.35635,-2.274248",0,4,59
1665825927,2022-10-15T09:25:27Z,UAE6AQ,"53.356453,-2.274029",0,4,56
1665825935,2022-10-15T09:25:35Z,UAE6AQ,"53.356556,-2.273827",0,4,53
1665825943,2022-10-15T09:25:43Z,UAE6AQ,"53.356659,-2.273601",0,4,53
1665825952,2022-10-15T09:25:52Z,UAE6AQ,"53.356773,-2.273365",0,5,50
1665825961,2022-10-15T09:26:01Z,UAE6AQ,"53.356873,-2.27316",0,4,50
1665825971,2022-10-15T09:26:11Z,UAE6AQ,"53.356964,-2.272958",0,3,50
1665825982,2022-10-15T09:26:22Z,UAE6AQ,"53.357071,-2.272757",0,3,50
1665825993,2022-10-15T09:26:33Z,UAE6AQ,"53.357174,-2.272542",0,3,50
1665826004,2022-10-15T09:26:44Z,UAE6AQ,"53.357281,-2.272332",0,3,50
1665826014,2022-10-15T09:26:54Z,UAE6AQ,"53.35738,-2.27211",0,4,50
1665826022,2022-10-15T09:27:02Z,UAE6AQ,"53.357487,-2.271888",0,5,50
1665826028,2022-10-15T09:27:08Z,UAE6AQ,"53.357594,-2.271666",0,6,50
1665826033,2022-10-15T09:27:13Z,UAE6AQ,"53.357685,-2.271464",0,7,50
1665826039,2022-10-15T09:27:19Z,UAE6AQ,"53.357815,-2.271221",0,8,50
