Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1666099011,2022-10-18T13:16:51Z,AFG401,"34.561779,69.216888",0,12,92
1666099018,2022-10-18T13:16:58Z,AFG401,"34.561741,69.217453",0,12,92
1666099025,2022-10-18T13:17:05Z,AFG401,"34.561707,69.217941",0,13,92
1666099031,2022-10-18T13:17:11Z,AFG401,"34.561672,69.218361",0,13,92
1666099038,2022-10-18T13:17:18Z,AFG401,"34.561638,69.218933",0,14,92
1666099045,2022-10-18T13:17:25Z,AFG401,"34.561592,69.219543",0,15,92
1666099050,2022-10-18T13:17:30Z,AFG401,"34.561558,69.219948",0,16,92
1666099054,2022-10-18T13:17:34Z,AFG401,"34.561523,69.220345",0,16,92
1666099076,2022-10-18T13:17:56Z,AFG401,"34.561375,69.222374",0,16,95
1666099079,2022-10-18T13:17:59Z,AFG401,"34.561352,69.222595",0,15,104
1666099081,2022-10-18T13:18:01Z,AFG401,"34.561306,69.222824",0,15,106
1666099084,2022-10-18T13:18:04Z,AFG401,"34.561241,69.223038",0,15,106
1666099087,2022-10-18T13:18:07Z,AFG401,"34.56118,69.223267",0,15,106
1666099089,2022-10-18T13:18:09Z,AFG401,"34.561127,69.22348",0,15,106
1666099093,2022-10-18T13:18:13Z,AFG401,"34.561066,69.223763",0,15,106
1666099096,2022-10-18T13:18:16Z,AFG401,"34.560997,69.223999",0,15,106
1666099098,2022-10-18T13:18:18Z,AFG401,"34.56094,69.224213",0,15,106
1666099106,2022-10-18T13:18:26Z,AFG401,"34.560776,69.224854",0,14,106
1666099120,2022-10-18T13:18:40Z,AFG401,"34.560539,69.225807",0,13,104
1666099127,2022-10-18T13:18:47Z,AFG401,"34.560413,69.226311",0,13,106
1666099134,2022-10-18T13:18:54Z,AFG401,"34.560276,69.226868",0,14,106
1666099139,2022-10-18T13:18:59Z,AFG401,"34.560196,69.227196",0,14,106
1666099166,2022-10-18T13:19:26Z,AFG401,"34.559795,69.228775",0,15,106
1666099167,2022-10-18T13:19:27Z,AFG401,"34.559673,69.229362",0,8,92
1666099175,2022-10-18T13:19:35Z,AFG401,"34.55975,69.229729",0,9,53
1666099183,2022-10-18T13:19:43Z,AFG401,"34.559967,69.229958",0,8,25
1666099191,2022-10-18T13:19:51Z,AFG401,"34.560253,69.230095",0,8,16
1666099197,2022-10-18T13:19:57Z,AFG401,"34.560471,69.230164",0,9,16
1666099202,2022-10-18T13:20:02Z,AFG401,"34.560696,69.230247",0,11,16
1666099207,2022-10-18T13:20:07Z,AFG401,"34.560974,69.230347",0,11,357
1666099212,2022-10-18T13:20:12Z,AFG401,"34.561226,69.230194",0,14,300
1666099215,2022-10-18T13:20:15Z,AFG401,"34.561325,69.229935",0,20,286
1666099217,2022-10-18T13:20:17Z,AFG401,"34.561386,69.229729",0,25,286
1666099219,2022-10-18T13:20:19Z,AFG401,"34.561474,69.22937",0,33,286
1666099222,2022-10-18T13:20:22Z,AFG401,"34.561661,69.228615",0,47,286
1666099223,2022-10-18T13:20:23Z,AFG401,"34.561729,69.228317",0,51,289
1666099225,2022-10-18T13:20:25Z,AFG401,"34.561848,69.22789",0,58,289
1666099226,2022-10-18T13:20:26Z,AFG401,"34.561935,69.227554",0,62,289
1666099227,2022-10-18T13:20:27Z,AFG401,"34.56208,69.226982",0,68,289
1666099228,2022-10-18T13:20:28Z,AFG401,"34.562187,69.226562",0,72,289
1666099229,2022-10-18T13:20:29Z,AFG401,"34.562302,69.226143",0,76,289
1666099230,2022-10-18T13:20:30Z,AFG401,"34.562428,69.22567",0,80,289
1666099231,2022-10-18T13:20:31Z,AFG401,"34.562546,69.225182",0,84,289
1666099233,2022-10-18T13:20:33Z,AFG401,"34.562679,69.224655",0,88,289
1666099240,2022-10-18T13:20:40Z,AFG401,"34.563828,69.220276",5650,115,287
1666099526,2022-10-18T13:25:26Z,AFG401,"34.602539,69.235107",12200,315,141
1666099544,2022-10-18T13:25:44Z,AFG401,"34.581116,69.252319",12800,321,155
1666099547,2022-10-18T13:25:47Z,AFG401,"34.575977,69.254547",12950,321,162
1666099552,2022-10-18T13:25:52Z,AFG401,"34.569599,69.256325",13125,320,169
1666099556,2022-10-18T13:25:56Z,AFG401,"34.563965,69.257126",13300,319,172
1666099560,2022-10-18T13:26:00Z,AFG401,"34.557076,69.257187",13475,318,182
1666099564,2022-10-18T13:26:04Z,AFG401,"34.551956,69.2565",13625,316,187
1666099567,2022-10-18T13:26:07Z,AFG401,"34.547195,69.255348",13775,315,193
1666099577,2022-10-18T13:26:17Z,AFG401,"34.545822,69.254898",13800,312,206
1666099591,2022-10-18T13:26:31Z,AFG401,"34.517441,69.234268",14850,308,218
1666099594,2022-10-18T13:26:34Z,AFG401,"34.514099,69.231018",14975,309,218
1666099598,2022-10-18T13:26:38Z,AFG401,"34.509827,69.226913",15125,310,218
1666099604,2022-10-18T13:26:44Z,AFG401,"34.50325,69.220482",15350,311,219
1666099789,2022-10-18T13:29:49Z,AFG401,"34.277985,69.008377",22075,356,217
1666099854,2022-10-18T13:30:54Z,AFG401,"34.187943,68.927101",23550,379,216
1666099915,2022-10-18T13:31:55Z,AFG401,"34.101196,68.849304",25200,391,218
1666099976,2022-10-18T13:32:56Z,AFG401,"34.019073,68.760963",27350,381,221
1666100037,2022-10-18T13:33:57Z,AFG401,"33.932812,68.678223",28500,394,217
1666100060,2022-10-18T13:34:20Z,AFG401,"33.900604,68.648125",28700,401,218
1666100248,2022-10-18T13:37:28Z,AFG401,"33.617706,68.395439",32050,417,213
1666100287,2022-10-18T13:38:07Z,AFG401,"33.555504,68.340797",32000,411,223
1666100291,2022-10-18T13:38:11Z,AFG401,"33.550709,68.335251",32000,410,224
