Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1665572991,2022-10-12T11:09:51Z,FDB7MT,"40.90543,29.313848",0,0,334
1665573020,2022-10-12T11:10:20Z,FDB7MT,"40.905224,29.31398",0,2,334
1665573042,2022-10-12T11:10:42Z,FDB7MT,"40.904999,29.314129",0,3,334
1665573060,2022-10-12T11:11:00Z,FDB7MT,"40.904789,29.314255",0,3,334
1665573078,2022-10-12T11:11:18Z,FDB7MT,"40.904583,29.314377",0,2,284
1665573459,2022-10-12T11:17:39Z,FDB7MT,"40.904377,29.314285",0,5,213
1665573467,2022-10-12T11:17:47Z,FDB7MT,"40.90416,29.314362",0,7,163
1665573476,2022-10-12T11:17:56Z,FDB7MT,"40.903873,29.314545",0,9,154
1665573483,2022-10-12T11:18:03Z,FDB7MT,"40.90361,29.314713",0,10,151
1665573489,2022-10-12T11:18:09Z,FDB7MT,"40.903332,29.314894",0,10,151
1665573495,2022-10-12T11:18:15Z,FDB7MT,"40.903065,29.315035",0,10,160
1665573501,2022-10-12T11:18:21Z,FDB7MT,"40.902843,29.314957",0,9,202
1665573508,2022-10-12T11:18:28Z,FDB7MT,"40.902657,29.314661",0,9,236
1665573514,2022-10-12T11:18:34Z,FDB7MT,"40.902534,29.314316",0,10,244
1665573518,2022-10-12T11:18:38Z,FDB7MT,"40.902443,29.314072",0,11,244
1665573522,2022-10-12T11:18:42Z,FDB7MT,"40.902344,29.313803",0,12,244
1665573526,2022-10-12T11:18:46Z,FDB7MT,"40.90226,29.313568",0,12,244
1665573532,2022-10-12T11:18:52Z,FDB7MT,"40.9021,29.313131",0,13,244
1665573538,2022-10-12T11:18:58Z,FDB7MT,"40.901924,29.312662",0,14,244
1665573544,2022-10-12T11:19:04Z,FDB7MT,"40.901756,29.31218",0,15,244
1665573550,2022-10-12T11:19:10Z,FDB7MT,"40.901573,29.311707",0,15,244
1665573557,2022-10-12T11:19:17Z,FDB7MT,"40.901321,29.311005",0,16,244
1665573563,2022-10-12T11:19:23Z,FDB7MT,"40.901123,29.310463",0,17,244
1665573569,2022-10-12T11:19:29Z,FDB7MT,"40.900887,29.309845",0,18,244
1665573575,2022-10-12T11:19:35Z,FDB7MT,"40.900669,29.309235",0,19,244
1665573581,2022-10-12T11:19:41Z,FDB7MT,"40.900425,29.308558",0,19,244
1665573587,2022-10-12T11:19:47Z,FDB7MT,"40.900181,29.307903",0,20,244
1665573592,2022-10-12T11:19:52Z,FDB7MT,"40.89996,29.307312",0,19,244
1665573599,2022-10-12T11:19:59Z,FDB7MT,"40.899715,29.306639",0,18,244
1665573605,2022-10-12T11:20:05Z,FDB7MT,"40.89949,29.306046",0,18,244
1665573611,2022-10-12T11:20:11Z,FDB7MT,"40.899261,29.30542",0,19,244
1665573616,2022-10-12T11:20:16Z,FDB7MT,"40.899052,29.304844",0,19,244
1665573623,2022-10-12T11:20:23Z,FDB7MT,"40.898758,29.304077",0,19,244
1665573629,2022-10-12T11:20:29Z,FDB7MT,"40.89854,29.303452",0,20,244
1665573636,2022-10-12T11:20:36Z,FDB7MT,"40.898243,29.302673",0,19,244
1665573643,2022-10-12T11:20:43Z,FDB7MT,"40.89798,29.301941",0,16,244
1665573648,2022-10-12T11:20:48Z,FDB7MT,"40.897831,29.301529",0,15,244
1665573654,2022-10-12T11:20:54Z,FDB7MT,"40.897625,29.300964",0,16,244
1665573660,2022-10-12T11:21:00Z,FDB7MT,"40.897419,29.300415",0,17,244
1665573667,2022-10-12T11:21:07Z,FDB7MT,"40.897175,29.299772",0,18,244
1665573673,2022-10-12T11:21:13Z,FDB7MT,"40.89695,29.299149",0,19,244
1665573678,2022-10-12T11:21:18Z,FDB7MT,"40.896732,29.298569",0,20,244
1665573684,2022-10-12T11:21:24Z,FDB7MT,"40.896492,29.297897",0,21,244
1665573690,2022-10-12T11:21:30Z,FDB7MT,"40.896233,29.297197",0,18,244
1665573697,2022-10-12T11:21:37Z,FDB7MT,"40.895977,29.296511",0,20,244
1665573703,2022-10-12T11:21:43Z,FDB7MT,"40.895721,29.295809",0,20,244
1665573709,2022-10-12T11:21:49Z,FDB7MT,"40.895496,29.295212",0,16,244
1665573715,2022-10-12T11:21:55Z,FDB7MT,"40.895313,29.294701",0,14,244
1665573721,2022-10-12T11:22:01Z,FDB7MT,"40.895164,29.294264",0,13,244
1665573727,2022-10-12T11:22:07Z,FDB7MT,"40.895004,29.293839",0,12,244
1665573733,2022-10-12T11:22:13Z,FDB7MT,"40.894878,29.293503",0,9,241
1665573739,2022-10-12T11:22:19Z,FDB7MT,"40.894768,29.293234",0,9,241
1665573745,2022-10-12T11:22:25Z,FDB7MT,"40.894676,29.292969",0,8,241
1665573750,2022-10-12T11:22:30Z,FDB7MT,"40.894569,29.292765",0,8,233
1665573758,2022-10-12T11:22:38Z,FDB7MT,"40.894348,29.292578",0,8,208
1665573764,2022-10-12T11:22:44Z,FDB7MT,"40.894123,29.292526",0,7,188
1665573771,2022-10-12T11:22:51Z,FDB7MT,"40.893906,29.292593",0,7,163
1665573782,2022-10-12T11:23:02Z,FDB7MT,"40.893696,29.292719",0,2,154
1665573802,2022-10-12T11:23:22Z,FDB7MT,"40.893482,29.292847",0,6,154
1665573809,2022-10-12T11:23:29Z,FDB7MT,"40.893242,29.292999",0,10,151
1665573815,2022-10-12T11:23:35Z,FDB7MT,"40.892979,29.293182",0,10,151
1665573823,2022-10-12T11:23:43Z,FDB7MT,"40.892761,29.293411",0,6,129
1665573832,2022-10-12T11:23:52Z,FDB7MT,"40.892818,29.293625",0,3,67
1665573860,2022-10-12T11:24:20Z,FDB7MT,"40.892921,29.2939",0,13,64
1665573866,2022-10-12T11:24:26Z,FDB7MT,"40.893276,29.294891",0,40,64
1665573872,2022-10-12T11:24:32Z,FDB7MT,"40.893997,29.296829",0,66,64
1665573881,2022-10-12T11:24:41Z,FDB7MT,"40.89537,29.300537",125,97,63
1665573887,2022-10-12T11:24:47Z,FDB7MT,"40.89698,29.305031",125,123,64
1665573893,2022-10-12T11:24:53Z,FDB7MT,"40.898621,29.309448",125,139,64
1665573900,2022-10-12T11:25:00Z,FDB7MT,"40.900517,29.314644",125,161,64
1665573906,2022-10-12T11:25:06Z,FDB7MT,"40.902519,29.320137",300,165,64
1665573912,2022-10-12T11:25:12Z,FDB7MT,"40.904388,29.325439",600,160,64
1665573918,2022-10-12T11:25:18Z,FDB7MT,"40.906475,29.331312",825,162,64
1665573924,2022-10-12T11:25:24Z,FDB7MT,"40.908417,29.33667",1000,167,64
1665573930,2022-10-12T11:25:30Z,FDB7MT,"40.910526,29.342299",1200,169,63
1665573936,2022-10-12T11:25:36Z,FDB7MT,"40.912575,29.347603",1350,173,62
1665573942,2022-10-12T11:25:42Z,FDB7MT,"40.914623,29.352846",1450,182,62
1665573948,2022-10-12T11:25:48Z,FDB7MT,"40.91716,29.359497",1525,191,63
1665573954,2022-10-12T11:25:54Z,FDB7MT,"40.919743,29.366392",1625,202,64
1665573960,2022-10-12T11:26:00Z,FDB7MT,"40.92215,29.373108",1750,208,65
1665573966,2022-10-12T11:26:06Z,FDB7MT,"40.924759,29.380432",1850,218,66
1665573969,2022-10-12T11:26:09Z,FDB7MT,"40.925842,29.383934",1900,221,67
1665573972,2022-10-12T11:26:12Z,FDB7MT,"40.927002,29.388367",1975,223,72
1665573975,2022-10-12T11:26:15Z,FDB7MT,"40.927597,29.391541",2100,225,76
1665573978,2022-10-12T11:26:18Z,FDB7MT,"40.928055,29.395935",2225,227,84
1665573981,2022-10-12T11:26:21Z,FDB7MT,"40.928261,29.400101",2325,229,88
1665573984,2022-10-12T11:26:24Z,FDB7MT,"40.928146,29.404846",2425,231,93
1665573987,2022-10-12T11:26:27Z,FDB7MT,"40.927841,29.408527",2525,232,98
1665573990,2022-10-12T11:26:30Z,FDB7MT,"40.927185,29.41272",2675,233,103
1665573993,2022-10-12T11:26:33Z,FDB7MT,"40.926262,29.41683",2800,235,108
1665573996,2022-10-12T11:26:36Z,FDB7MT,"40.924911,29.421263",2900,238,113
1665573999,2022-10-12T11:26:39Z,FDB7MT,"40.923561,29.424944",3000,239,116
1665574002,2022-10-12T11:26:42Z,FDB7MT,"40.921646,29.428955",3125,242,123
1665574005,2022-10-12T11:26:45Z,FDB7MT,"40.919815,29.43219",3250,244,129
1665574008,2022-10-12T11:26:48Z,FDB7MT,"40.917507,29.435556",3325,248,133
