Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1664463756,2022-09-29T15:02:36Z,GFA510,"26.266594,50.633873",0,3,219
1664463774,2022-09-29T15:02:54Z,GFA510,"26.266809,50.63406",0,3,225
1664463791,2022-09-29T15:03:11Z,GFA510,"26.267019,50.634243",0,3,255
1664463805,2022-09-29T15:03:25Z,GFA510,"26.26712,50.634445",0,3,292
1664464030,2022-09-29T15:07:10Z,GFA510,"26.267281,50.634239",0,5,300
1664464042,2022-09-29T15:07:22Z,GFA510,"26.267509,50.63385",0,8,303
1664464049,2022-09-29T15:07:29Z,GFA510,"26.26774,50.633636",0,10,323
1664464055,2022-09-29T15:07:35Z,GFA510,"26.267984,50.633663",0,9,5
1664464087,2022-09-29T15:08:07Z,GFA510,"26.268229,50.63464",0,8,123
1664464120,2022-09-29T15:08:40Z,GFA510,"26.267223,50.636402",0,15,123
1664464127,2022-09-29T15:08:47Z,GFA510,"26.266937,50.636898",0,16,123
1664464137,2022-09-29T15:08:57Z,GFA510,"26.266495,50.637665",0,19,123
1664464142,2022-09-29T15:09:02Z,GFA510,"26.266205,50.638153",0,20,120
1664464151,2022-09-29T15:09:11Z,GFA510,"26.265747,50.638954",0,22,120
1664464157,2022-09-29T15:09:17Z,GFA510,"26.265381,50.639576",0,23,123
1664464163,2022-09-29T15:09:23Z,GFA510,"26.265003,50.640247",0,24,120
1664464170,2022-09-29T15:09:30Z,GFA510,"26.264568,50.640987",0,26,120
1664464176,2022-09-29T15:09:36Z,GFA510,"26.264145,50.641739",0,27,120
1664464183,2022-09-29T15:09:43Z,GFA510,"26.263641,50.642605",0,28,123
1664464189,2022-09-29T15:09:49Z,GFA510,"26.263229,50.643291",0,26,123
1664464194,2022-09-29T15:09:54Z,GFA510,"26.262897,50.64389",0,25,120
1664464200,2022-09-29T15:10:00Z,GFA510,"26.26252,50.644539",0,24,123
1664464206,2022-09-29T15:10:06Z,GFA510,"26.262165,50.645145",0,23,123
1664464212,2022-09-29T15:10:12Z,GFA510,"26.261822,50.645741",0,22,123
1664464218,2022-09-29T15:10:18Z,GFA510,"26.261515,50.646286",0,20,120
1664464224,2022-09-29T15:10:24Z,GFA510,"26.261234,50.646748",0,17,120
1664464230,2022-09-29T15:10:30Z,GFA510,"26.261024,50.647118",0,14,120
1664464236,2022-09-29T15:10:36Z,GFA510,"26.260839,50.647449",0,12,120
1664464242,2022-09-29T15:10:42Z,GFA510,"26.260687,50.647713",0,10,120
1664464249,2022-09-29T15:10:49Z,GFA510,"26.260559,50.647938",0,8,120
1664464256,2022-09-29T15:10:56Z,GFA510,"26.260437,50.64814",0,6,120
1664464310,2022-09-29T15:11:50Z,GFA510,"26.260323,50.648346",0,0,120
1664464325,2022-09-29T15:12:05Z,GFA510,"26.26021,50.648582",0,5,118
1664464332,2022-09-29T15:12:12Z,GFA510,"26.260174,50.6488",0,7,104
1664464338,2022-09-29T15:12:18Z,GFA510,"26.260164,50.649021",0,7,92
1664464345,2022-09-29T15:12:25Z,GFA510,"26.260221,50.649242",0,6,78
1664464352,2022-09-29T15:12:32Z,GFA510,"26.260323,50.64946",0,8,64
1664464358,2022-09-29T15:12:38Z,GFA510,"26.260513,50.649693",0,10,47
1664464363,2022-09-29T15:12:43Z,GFA510,"26.260735,50.64986",0,12,36
1664464368,2022-09-29T15:12:48Z,GFA510,"26.260963,50.650017",0,12,30
1664464373,2022-09-29T15:12:53Z,GFA510,"26.261169,50.65012",0,9,28
1664464381,2022-09-29T15:13:01Z,GFA510,"26.261385,50.650196",0,5,14
1664464393,2022-09-29T15:13:13Z,GFA510,"26.261456,50.649979",0,3,309
1664464437,2022-09-29T15:13:57Z,GFA510,"26.261559,50.649773",0,7,303
1664464443,2022-09-29T15:14:03Z,GFA510,"26.261936,50.649109",0,29,303
1664464449,2022-09-29T15:14:09Z,GFA510,"26.26276,50.647671",0,61,303
1664464458,2022-09-29T15:14:18Z,GFA510,"26.264866,50.643963",250,105,302
1664464464,2022-09-29T15:14:24Z,GFA510,"26.266775,50.640686",250,131,302
1664464470,2022-09-29T15:14:30Z,GFA510,"26.268494,50.637798",250,155,302
1664464476,2022-09-29T15:14:36Z,GFA510,"26.271606,50.632305",250,174,302
1664464486,2022-09-29T15:14:46Z,GFA510,"26.275955,50.624584",650,177,302
1664464492,2022-09-29T15:14:52Z,GFA510,"26.278505,50.620033",925,177,302
1664464498,2022-09-29T15:14:58Z,GFA510,"26.281448,50.61557",1250,174,303
1664464501,2022-09-29T15:15:01Z,GFA510,"26.2833,50.61359",1400,172,315
1664464505,2022-09-29T15:15:05Z,GFA510,"26.285294,50.611942",1500,172,322
1664464508,2022-09-29T15:15:08Z,GFA510,"26.287445,50.610592",1575,138,329
1664464511,2022-09-29T15:15:11Z,GFA510,"26.28978,50.609558",1650,176,335
1664464514,2022-09-29T15:15:14Z,GFA510,"26.292051,50.608681",1725,142,340
1664464516,2022-09-29T15:15:16Z,GFA510,"26.294357,50.607899",1800,180,342
1664464519,2022-09-29T15:15:19Z,GFA510,"26.296829,50.607174",1850,184,344
1664464523,2022-09-29T15:15:23Z,GFA510,"26.29953,50.606449",1925,187,345
1664464526,2022-09-29T15:15:26Z,GFA510,"26.302048,50.605774",2000,191,346
1664464529,2022-09-29T15:15:29Z,GFA510,"26.304932,50.605049",2100,192,347
1664464532,2022-09-29T15:15:32Z,GFA510,"26.307541,50.604427",2225,192,347
1664464535,2022-09-29T15:15:35Z,GFA510,"26.309921,50.603855",2350,192,347
1664464538,2022-09-29T15:15:38Z,GFA510,"26.312954,50.603134",2425,193,348
1664464541,2022-09-29T15:15:41Z,GFA510,"26.31546,50.602562",2500,196,347
1664464544,2022-09-29T15:15:44Z,GFA510,"26.318253,50.601887",2575,199,348
1664464547,2022-09-29T15:15:47Z,GFA510,"26.320221,50.601421",2625,202,348
1664464553,2022-09-29T15:15:53Z,GFA510,"26.326454,50.599964",2725,212,348
1664464559,2022-09-29T15:15:59Z,GFA510,"26.332947,50.598469",2825,221,348
1664464565,2022-09-29T15:16:05Z,GFA510,"26.339163,50.597008",2950,230,348
1664464571,2022-09-29T15:16:11Z,GFA510,"26.345261,50.595581",3100,239,347
1664464577,2022-09-29T15:16:17Z,GFA510,"26.352402,50.593853",3225,247,347
1664464583,2022-09-29T15:16:23Z,GFA510,"26.358994,50.592304",3400,253,347
1664464589,2022-09-29T15:16:29Z,GFA510,"26.366455,50.590538",3650,257,348
1664464595,2022-09-29T15:16:35Z,GFA510,"26.373379,50.588924",3950,256,348
1664464601,2022-09-29T15:16:41Z,GFA510,"26.379868,50.587482",4325,254,348
1664464607,2022-09-29T15:16:47Z,GFA510,"26.387251,50.585861",4700,252,349
1664464613,2022-09-29T15:16:53Z,GFA510,"26.394094,50.584381",5050,249,349
1664464625,2022-09-29T15:17:05Z,GFA510,"26.407471,50.58173",5700,247,350
1664464637,2022-09-29T15:17:17Z,GFA510,"26.421387,50.580379",6225,255,1
1664464640,2022-09-29T15:17:20Z,GFA510,"26.425053,50.580791",6350,257,6
